,tm,count,fg,fga,fg_percent,x3p,x3pa,x3p_percent,ft,fta,ft_percent,orb,drb,trb,ast,stl,blk,tov,pf,pts,Conferencia
1,ATL,934,178318,387243,0.43565409482758616,20094.0,57443.0,0.2586806596701649,91690,120991,0.7339673423423424,53493.0,124308.0,199336.0,103360,34122.0,20736.0,56862.0,102228,468420,Este
4,BOS,1142,242210,538184,0.43418629173989454,21603.0,60632.0,0.26049196141479103,126176,165673,0.7256039783001809,50151.0,130119.0,286275.0,143442,33335.0,19886.0,57123.0,139326,632199,Este
8,CHA,183,28431,64541,0.42273333333333335,4325.0,12500.0,0.28279432624113476,14871,20199,0.707123595505618,8847.0,23698.0,32545.0,16913,5992.0,4102.0,11050.0,16907,76058,Este
10,CHI,935,185223,403920,0.43703236245954696,18105.0,51271.0,0.25671107544141253,92057,121543,0.7209718785151855,52962.0,127367.0,210961.0,111084,32762.0,19826.0,57482.0,104832,480608,Este
16,CLE,940,169755,370855,0.4328723175965665,19835.0,55382.0,0.24693293591654247,82010,109236,0.7237600000000001,51255.0,124244.0,187642.0,101206,31520.0,19930.0,55279.0,95253,441355,Este
17,DAL,773,138842,301365,0.43743285528031295,22749.0,63904.0,0.26266060606060604,67729,87687,0.7363274932614555,42577.0,108372.0,150949.0,80139,26059.0,16558.0,48270.0,76092,368162,Oeste
18,DEN,808,158187,340241,0.4449540372670807,19745.0,56826.0,0.2604449541284404,80768,106232,0.727712807244502,50749.0,120360.0,171109.0,95341,32705.0,20775.0,57865.0,89412,416887,Oeste
19,DET,1082,215444,478013,0.43169508804448564,18846.0,54258.0,0.2557032457496136,111142,149920,0.7231264478764479,53440.0,124281.0,248786.0,119064,32097.0,20102.0,55709.0,124746,560876,Este
22,GSW,884,176310,378818,0.4472764505119454,22814.0,63044.0,0.26344356120826706,83170,110123,0.7130950704225353,54781.0,127572.0,191208.0,103754,36055.0,20797.0,59494.0,98915,458604,Oeste
23,HOU,897,170251,367324,0.44037849944008955,24803.0,71057.0,0.24924148148148148,83109,109834,0.7222065727699531,51913.0,128154.0,188560.0,100294,33238.0,21082.0,58564.0,94376,448414,Oeste
24,IND,768,152026,327215,0.4449554390563565,20256.0,56777.0,0.25357766990291264,76293,99399,0.732874154262517,47236.0,119881.0,167117.0,91411,31101.0,19739.0,57784.0,89329,400601,Este
28,LAC,715,123919,268629,0.4332025316455696,18658.0,52640.0,0.2575830564784053,61665,82981,0.726099560761347,38186.0,97951.0,136137.0,72906,25534.0,17375.0,48230.0,70512,328161,Oeste
29,LAL,989,216170,458808,0.44303756345177664,20300.0,58697.0,0.2542288,108965,146385,0.7247635983263598,51722.0,130449.0,242447.0,127984,34101.0,22687.0,56860.0,113867,561605,Oeste
30,MEM,454,69986,154277,0.43484,13471.0,38643.0,0.2777117794486216,32955,43870,0.718356807511737,20896.0,57518.0,78414.0,40744,15212.0,9799.0,25515.0,38531,186398,Oeste
31,MIA,630,107435,233735,0.44065869218500797,19910.0,55621.0,0.2915692307692308,52215,70106,0.7281816666666666,31907.0,89061.0,120968.0,63043,22036.0,13979.0,41324.0,62709,286995,Este
32,MIL,952,184269,392019,0.4392124735729387,20744.0,58047.0,0.27379003021148035,86713,114638,0.7311810154525387,50939.0,125004.0,197947.0,109493,34632.0,20094.0,56832.0,103855,475995,Este
33,MIN,589,106774,234182,0.43708576329331045,16214.0,46723.0,0.2699151873767259,52470,68152,0.7350514184397163,32829.0,84429.0,117258.0,65233,21537.0,14131.0,39323.0,60502,282232,Oeste
36,NJN,606,108359,240019,0.42786920529801326,9356.0,28146.0,0.2377763157894737,56995,76254,0.7211543739279588,39003.0,83211.0,122214.0,64071,24221.0,15482.0,45822.0,67487,283069,Este
40,NOP,229,36003,77097,0.4284342105263158,8760.0,24410.0,0.3137019230769231,15532,20352,0.7296975609756097,9322.0,29906.0,39228.0,21832,6867.0,4470.0,11951.0,17509,96298,Oeste
41,NYK,1190,233477,520121,0.4240531197301855,20768.0,58775.0,0.26616503267973857,122953,164830,0.7214244288224956,50266.0,125167.0,270918.0,133553,32401.0,17872.0,57960.0,143586,610675,Este
43,OKC,305,50472,109484,0.44116721311475415,11485.0,32786.0,0.2932592592592593,24647,31564,0.7245342960288809,14327.0,42854.0,57181.0,27894,10175.0,7117.0,17975.0,26284,137076,Oeste
44,ORL,612,106171,233235,0.4316111111111111,19900.0,56329.0,0.280203488372093,51467,70038,0.7293154246100519,32585.0,87427.0,120012.0,61729,21062.0,13413.0,40617.0,58932,283709,Este
45,PHI,1034,197325,429004,0.43703216374269005,17724.0,51521.0,0.2502793462109955,106131,141890,0.7135944841675179,52530.0,126637.0,225488.0,113676,35989.0,22587.0,59344.0,110936,518505,Este
46,PHO,911,187157,395631,0.4471346578366446,21245.0,59214.0,0.27121962616822426,92353,120892,0.7354054669703873,49823.0,128197.0,199457.0,113613,34613.0,20085.0,59081.0,102912,487912,Oeste
48,POR,866,175415,377039,0.4473872832369942,20782.0,58496.0,0.26568699839486354,87088,115393,0.7263024096385542,54048.0,126641.0,192823.0,102611,33453.0,20465.0,57136.0,98620,458700,Oeste
50,SAC,678,122635,266494,0.4379585798816568,19704.0,55005.0,0.2705930434782609,60046,79493,0.719615503875969,37201.0,95986.0,133187.0,73030,24632.0,14449.0,46497.0,68365,325020,Oeste
51,SAS,825,156430,327989,0.45204029304029303,19183.0,52996.0,0.26012461538461534,75571,100123,0.7252146464646465,46320.0,122905.0,169225.0,94705,30832.0,22135.0,56616.0,82363,407614,Oeste
60,TOR,555,86991,192698,0.4345989110707804,18041.0,50216.0,0.28453218884120174,41761,54204,0.7340763358778626,26183.0,70541.0,96724.0,51156,17948.0,11809.0,30710.0,49831,233784,Este
63,UTA,722,140956,296929,0.4498817802503477,17840.0,50265.0,0.27175125208681133,75468,99148,0.7401673944687045,43154.0,111444.0,154598.0,89322,29190.0,20175.0,55852.0,83315,375220,Oeste
65,WAS,511,81651,179955,0.438508875739645,15105.0,42886.0,0.28511162790697675,39196,52032,0.7269602510460251,24298.0,66213.0,90511.0,47543,16578.0,10018.0,29864.0,45821,217603,Este
